,city,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
193,lagoa,37.14,-8.45,50,39,0,13.87
194,vardo,39.62,-77.74,27.61,52,90,17.22
195,nikolskoye,59.7,30.79,23,85,75,11.18
196,port lincoln,-34.72,135.86,82.28,53,92,11.99
197,balabac,7.99,117.06,80.39,100,80,17.13
198,awjilah,29.14,21.3,36.11,59,0,3.6
199,chelno-vershiny,54.42,51.08,9.97,82,64,9.53
200,hervey bay,-25.3,152.85,86,42,20,17.22
201,enniscorthy,52.5,-6.56,35.21,99,20,3.38
202,tambura,NA,NA,NA,NA,NA,NA
203,madinat sittah uktubar,29.82,31.05,44.6,75,0,3.36
204,ballina,54.11,-9.15,38.45,100,36,3.38
205,semnan,35.58,53.39,30.2,74,20,4.16
206,methoni,36.82,21.7,54.74,100,92,19.04
207,sorvag,NA,NA,NA,NA,NA,NA
208,crotone,39.09,17.12,24.8,85,90,9.17
209,novikovo,45.05,34.56,41.51,98,88,15.57
210,denpasar,-8.65,115.22,87.8,74,20,10.29
211,poum,41.28,20.71,14.06,75,64,0.92
212,ariquemes,-9.91,-63.03,72.56,94,76,2.15
213,grand gaube,-20.01,57.66,82.4,78,40,10.29
214,charters towers,-20.07,146.27,77.02,99,80,14.12
215,diapaga,12.07,1.79,62.89,54,0,3.6
216,piterka,50.68,47.44,-2.55,49,44,5.39
217,yeppoon,-23.13,150.74,86,55,20,13.87
218,tura,25.52,90.21,59.78,82,0,3.83
219,nishihara,35.74,139.53,54.75,24,40,14.99
220,aklavik,68.22,-135.01,-23.81,67,90,2.24
221,tyrma,50.04,132.17,-0.97,54,0,3.38
222,quatre cocos,-20.21,57.76,82.4,78,40,10.29
223,sur,22.57,59.53,70.85,100,8,2.48
224,mys shmidta,NA,NA,NA,NA,NA,NA
225,nizhneyansk,NA,NA,NA,NA,NA,NA
226,erzin,36.95,36.2,41.92,80,40,3.36
227,chakradharpur,22.67,85.62,60.8,67,0,3.6
228,joshimath,30.57,79.57,8.89,92,80,0.81
229,grand river south east,NA,NA,NA,NA,NA,NA
230,gazalkent,41.57,69.78,42.8,81,90,9.17
231,saint-leu,-21.15,55.28,83.21,58,0,5.82
232,avera,33.19,-82.53,32.38,88,1,1.92
233,rungata,NA,NA,NA,NA,NA,NA
234,melur,10.03,78.34,78.8,61,20,5.82
235,kavieng,-2.57,150.8,83.63,100,48,7.63
236,luderitz,-26.65,15.16,57.13,92,0,3.04
237,russell,-33.01,-68.8,42.64,98,0,2.15
238,puerto escondido,15.86,-97.07,78.8,74,20,11.21
239,port hardy,50.7,-127.42,46.4,93,90,21.92
240,kondoa,-4.91,35.78,61.4,80,36,4.38
241,gravelbourg,49.88,-106.56,14.06,84,0,5.73
242,samarai,-10.62,150.67,84.67,99,0,12.21
243,chuy,-33.69,-53.46,66.35,100,80,3.6
244,mogok,22.92,96.51,60.5,86,0,2.15
245,turukhansk,65.8,87.96,-23.74,35,56,8.75
246,mount gambier,-37.83,140.78,91.4,14,0,16.11
247,lata,30.78,78.62,33.19,98,92,1.7
248,wanning,48.64,13.53,26.6,86,75,5.82
249,pacatuba,-10.45,-36.65,75.44,91,92,3.96
250,kaitangata,-46.28,169.85,53.61,75,24,17.49
251,bamako,12.65,-8,64.4,25,0,6.93
252,komsomolets,52.77,41.29,14.24,84,92,12.24
253,porto novo,-23.68,-45.44,73.4,88,20,3.36
254,alugan,12.22,125.48,81.74,86,36,16.04
255,black river,18.03,-77.85,77,73,75,2.24
256,faanui,-16.48,-151.75,83.72,100,92,18.05
257,ranot,7.78,100.32,84.03,79,32,14.58
258,sao filipe,14.9,-24.5,72.24,97,0,13.47
259,puerto quijarro,-19,-57.72,76.97,83,0,2.73
260,kasama,-10.21,31.19,66.35,100,76,4.41
261,vostok,46.45,135.83,5.01,57,0,2.95
262,saldanha,41.42,-6.55,19.19,91,0,4.52
263,fare,-16.7,-151.02,82.14,100,88,14.7
264,karoi,-16.82,29.68,71.97,98,68,6.2
265,verkhnyaya toyma,62.24,45,16.98,84,88,10.45
266,mayo,63.59,-135.9,-22.01,74,90,2.62
267,victoria,5.28,115.24,88.81,62,75,6.93
268,san carlos de bariloche,-41.13,-71.31,44.6,48,0,5.82
269,mackay,53.65,-115.58,4.1,92,20,2.39
270,palmer,-34.85,139.16,93.2,12,0,8.05
271,salalah,17.01,54.1,69.8,49,0,5.82
272,galiwinku,NA,NA,NA,NA,NA,NA
273,yebaishou,41.4,119.64,35.07,25,76,3.96
274,tuatapere,-46.13,167.69,54.51,98,76,14.03
275,vila franca do campo,37.72,-25.43,55.4,93,40,8.05
276,cienaga de oro,8.87,-75.62,73.4,100,0,4.85
277,carlsbad,50.23,12.87,23.29,92,90,2.24
278,yingzhong,NA,NA,NA,NA,NA,NA
279,axim,4.87,-2.24,82.05,100,12,5.41
280,deputatskiy,69.3,139.9,-35.04,61,44,2.73
281,schongau,47.81,10.9,24.35,92,64,1.12
282,saint-philippe,45.36,-73.48,10.13,66,90,21.92
283,kodiak,39.95,-94.76,32.97,61,90,6.93
284,conchas,-23.02,-48.01,67.38,88,0,4.63
285,esperance,10.24,-61.45,75.2,88,0,5.3
286,karamken,NA,NA,NA,NA,NA,NA
287,oda,35.19,132.5,50,57,75,1.12
288,asau,NA,NA,NA,NA,NA,NA
289,maniitsoq,65.42,-52.9,5.6,100,0,6.76
290,jumla,29.28,82.18,30.44,72,32,1.72
291,mogadouro,41.34,-6.71,19.19,91,0,4.52
292,suifenhe,44.39,131.16,24.59,35,0,2.95
293,dingle,11,122.67,83.9,64,48,16.71
294,aflu,NA,NA,NA,NA,NA,NA
295,lavrentiya,65.58,-170.99,-10.79,92,0,17.05
296,airai,-8.93,125.41,78.5,86,56,1.28
297,praia da vitoria,38.73,-27.07,57.2,93,75,24.09
298,rock springs,41.59,-109.2,26.06,88,90,6.93
299,pisco,-13.71,-76.2,73.4,83,90,4.7
300,port macquarie,-31.43,152.91,84.2,54,0,21.92
301,gasa,27.91,89.73,11.09,91,0,1.83
302,leningradskiy,69.38,178.42,-3.36,91,8,23.98
303,luau,-10.7,22.23,67.25,97,88,3.74
304,arshan,14.32,46.95,61.94,38,0,3.74
305,baykit,61.68,96.39,-11.87,54,24,10.78
306,fort nelson,58.81,-122.69,-14.81,75,5,2.24
307,caluquembe,-13.78,14.68,60.99,74,0,2.51
308,bethanien,-26.5,17.16,63.33,43,0,4.07
309,port hedland,-20.31,118.58,93.2,63,0,16.11
310,touros,-5.2,-35.46,75.2,88,40,4.7
311,mnogovershinnyy,53.94,139.92,-0.48,65,0,5.64
312,maldonado,-34.91,-54.96,66.2,72,40,9.17
313,tabiauea,NA,NA,NA,NA,NA,NA
314,la orilla,18,-102.23,71.79,100,0,2.95
315,sitniki,52.67,22.8,8.88,78,56,3.4
316,lebu,8.96,38.73,52.49,46,0,4.07
317,pindiga,9.98,10.93,58.38,49,0,4.41
318,rawson,-43.3,-65.11,52.85,34,0,8.43
319,johnson city,36.31,-82.35,20.95,79,1,2.93
320,yellowknife,62.45,-114.38,-7.61,76,90,10.29
321,torbay,47.66,-52.73,33.8,100,90,2.24
322,tubinskiy,52.89,58.22,5,84,75,2.24
323,yashan,30.81,118.02,42.05,100,92,3.18
324,tours,47.39,0.69,35.6,93,0,3.36
325,nanortalik,60.14,-45.24,25.71,86,12,9.78
326,narsaq,60.91,-46.05,6.05,53,8,2.84
327,gamba,28.28,88.52,17.88,79,0,5.75
328,assiniboia,49.63,-105.99,9.42,84,32,6.31
329,necochea,-38.55,-58.74,43.85,100,0,3.74
330,lowestoft,52.48,1.75,44.6,100,92,6.93
331,kaihua,29.14,118.41,47.45,100,92,3.29
332,damaturu,11.75,11.96,53.75,70,0,3.06
333,gat,14.69,-16.54,67.33,82,68,12.75
334,biltine,14.53,20.93,62.88,29,0,11.56
335,sosnogorsk,63.59,53.93,-2.87,73,68,6.31
336,ust-kulom,61.69,53.69,9.33,83,64,6.2
337,elizabeth city,36.3,-76.22,32.45,44,1,11.41
338,la ronge,55.1,-105.3,1.4,84,90,8.05
339,nioro,13.79,-15.05,67.11,42,32,6.53
340,panjab,34.38,67.02,20.09,79,24,1.72
341,codrington,-28.95,153.24,87.76,40,40,12.75
342,teguise,29.06,-13.56,60.8,63,24,8.05
343,kumluca,36.37,30.29,34.67,100,92,0.94
344,severnyy,NA,NA,NA,NA,NA,NA
345,hays,38.88,-99.33,34.18,84,1,9.17
346,coos bay,43.37,-124.22,50,96,1,5.82
347,golden,51.3,-116.96,11.54,88,0,1.48
348,kostroma,57.77,40.93,15.8,85,90,8.95
349,bilibino,68.06,166.44,-10.92,53,8,2.93
350,magdalena,-13.26,-64.05,73.23,87,80,2.95
351,tual,-5.67,132.75,79.85,100,48,8.99
352,namatanai,-3.66,152.44,86.55,91,12,14.36
353,yulara,-25.24,130.99,107.6,8,0,12.75
354,samusu,NA,NA,NA,NA,NA,NA
355,college,64.86,-147.8,-29.53,70,40,3.18
356,high level,58.52,-117.13,-4.22,76,32,4.97
357,nome,30.04,-94.42,47.12,76,1,7.2
358,rawannawi,NA,NA,NA,NA,NA,NA
359,bhainsdehi,21.65,77.63,76.83,40,0,4.63
360,boke,10.95,-14.28,67.07,90,8,2.62
361,zhanakorgan,43.91,67.25,27.74,88,56,3.96
362,kokomo,40.49,-86.13,25.86,80,90,5.82
363,fairfield,38.25,-122.04,49.93,92,90,17.22
364,hirara,24.8,125.28,78.8,78,40,12.75
365,murgud,16.43,74.26,81.06,45,0,7.2
366,awbari,26.59,12.77,29.94,68,0,3.4
367,kovalevskoye,45.16,41,31.47,62,64,6.31
368,sudzha,51.19,35.27,24.54,92,68,6.2
369,sinnamary,5.38,-52.96,78.95,94,92,13.35
370,jaipur hat,NA,NA,NA,NA,NA,NA
371,floro,61.6,5.03,41,75,80,18.34
372,nabire,-3.36,135.5,77.19,82,44,2.73
373,galle,29.74,-97.91,49.96,60,1,4.7
374,vestmannaeyjar,63.44,-20.27,44.3,98,92,19.17
375,vaitupu,NA,NA,NA,NA,NA,NA
376,tallahassee,30.44,-84.28,36.86,93,1,2.37
377,alice springs,-23.7,133.88,104,16,40,6.93
378,limon,39.26,-103.69,33.98,51,75,2.62
379,sembakung,3.82,117.25,87.8,66,40,6.93
380,point pedro,9.82,80.23,78.5,95,0,11.99
381,sobolevo,54.43,31.9,9.33,83,56,3.18
382,guaruja,-23.99,-46.26,70.72,77,12,12.75
383,ningan,NA,NA,NA,NA,NA,NA
384,margate,-43.03,147.26,84.2,54,20,14.99
385,ambatondrazaka,-17.82,48.43,73.77,87,44,2.84
386,santa maria,-29.69,-53.81,69.59,96,92,3.74
387,kirensk,57.78,108.12,17.43,56,76,6.42
388,karksi-nuia,58.1,25.55,20.45,90,92,19.62
389,fallon,46.84,-105.12,32,78,1,4.7
390,ponferrada,42.55,-6.59,15.14,79,0,1.95
391,solsvik,NA,NA,NA,NA,NA,NA
392,dinsor,NA,NA,NA,NA,NA,NA
393,cabo san lucas,22.89,-109.91,68,77,20,6.42
394,rocha,-34.48,-54.34,62.61,91,56,5.64
395,santa vitoria do palmar,-33.52,-53.37,66.21,100,80,3.18
396,lodja,-3.52,23.6,70.8,95,88,3.96
397,jorochito,-18.06,-63.43,69.8,94,90,19.46
398,constitucion,23.99,-104.67,46.86,61,0,8.77
399,atasu,48.68,71.64,8.52,91,68,4.74
400,moura,38.14,-7.45,41,75,0,8.05
401,kilembe,0.2,30.01,70.53,81,0,4.18
402,meulaboh,4.14,96.13,83.13,100,76,4.18
403,ambulu,-8.35,113.61,82.37,100,32,6.98
404,longlac,NA,NA,NA,NA,NA,NA
405,te anau,-45.41,167.72,58.11,48,0,5.75
406,amapa,15.09,-87.97,71.6,94,75,1.61
407,karaul,NA,NA,NA,NA,NA,NA
408,beruwala,6.48,79.98,79.89,100,100,11.34
409,changqing,31.81,117.24,37.4,100,90,6.71
410,abu dhabi,24.47,54.37,67.14,72,20,5.82
411,comodoro rivadavia,-45.87,-67.48,62.6,36,0,6.93
412,mitsamiouli,-11.38,43.28,80.6,78,20,2.24
413,port-gentil,-0.72,8.78,78.63,100,92,0.94
414,iqaluit,63.75,-68.52,-14.81,62,90,10.29
415,ilebo,-4.33,20.59,76.83,87,32,2.95
416,kushima,31.5,131.29,51.71,66,75,2.24
417,malakal,NA,NA,NA,NA,NA,NA
418,korla,NA,NA,NA,NA,NA,NA
419,quelimane,-17.88,36.89,78.8,88,40,3.36
420,karkaralinsk,NA,NA,NA,NA,NA,NA
421,ponta do sol,-20.63,-46,66.03,86,56,2.62
422,halifax,44.65,-63.58,28.4,79,75,10.29
423,yar-sale,66.83,70.83,-20.46,90,24,9.22
424,umea,63.83,20.26,33.8,59,0,11.41
425,babanusah,NA,NA,NA,NA,NA,NA
426,bhadrachalam,17.67,80.89,79.17,77,0,4.18
427,atambua,-9.11,124.89,84.21,91,48,7.31
428,fairview,40.81,-74,28.44,50,40,16.11
429,sabla,12.75,4.71,61.71,51,0,5.97
430,port blair,11.67,92.75,80.61,100,44,13.8
431,qafsah,NA,NA,NA,NA,NA,NA
432,viedma,-40.81,-62.99,53.12,71,0,12.8
433,namibe,-15.19,12.15,73.5,100,0,1.28
434,isangel,-19.55,169.27,80.52,100,48,9.78
435,cadillac,44.25,-85.4,18.84,70,40,3.36
436,saint-georges,46.12,-70.67,19.69,64,76,10.65
437,sulangan,11.14,123.72,81.96,93,48,17.49
438,trinidad,-33.52,-56.9,62.84,91,20,7.96
439,kavaratti,10.57,72.64,81.74,100,0,8.99
440,bastia,44.6,8.98,42.8,26,0,10.29
441,svetogorsk,61.11,28.87,28.4,100,90,14.99
442,mecca,21.43,39.83,51.82,81,0,2.71
443,alofi,-19.06,-169.92,80.6,88,68,16.11
444,sabang,13.72,123.58,75.93,100,92,8.88
445,poninka,50.19,27.56,7.08,84,80,9.44
446,grindavik,63.84,-22.43,43.65,100,75,16.11
447,bereda,43.27,-7.54,42.8,56,0,3.62
448,biak,-0.91,122.88,85.79,81,44,2.51
449,laibin,23.74,109.23,49.47,100,100,8.77
450,aksha,50.28,113.29,16.26,70,0,3.85
451,coquimbo,-29.95,-71.34,59,87,40,8.05
452,richards bay,-28.77,32.06,77.73,76,24,9.78
453,colares,38.8,-9.45,42.4,56,0,9.17
454,ilo,-17.65,-71.34,63.2,100,24,2.39
455,las vegas,36.17,-115.15,49.42,72,1,0.92
456,sorong,-0.86,131.25,84.21,100,8,9.44
457,mahajanga,-15.72,46.32,80.6,83,20,4.7
458,sept-iles,50.2,-66.38,23,79,90,9.17
459,attawapiskat,NA,NA,NA,NA,NA,NA
460,nanakuli,21.39,-158.15,74.14,90,90,3.36
461,kloulklubed,7.04,134.26,80.6,83,90,11.41
462,batagay-alyta,67.8,130.41,-33.74,55,48,3.18
463,santa rosa,-36.62,-64.29,55.28,59,0,9.86
464,mutuipe,-13.23,-39.5,71.3,96,92,4.18
465,north bend,43.41,-124.22,50,96,1,5.82
466,wawa,9.9,4.41,63.74,73,0,2.73
467,bani walid,31.76,14,36.69,77,56,3.4
468,alghero,40.56,8.32,30.2,92,0,2.24
469,ribeira brava,32.65,-17.07,59,62,40,4.7
470,pangoa,-12.12,-73,65.04,98,88,1.95
471,nalut,31.86,10.98,33.14,85,32,3.74
472,galgani,NA,NA,NA,NA,NA,NA
473,chara,39.42,22.43,34.3,86,40,4.7
474,hastings,-39.64,176.84,76.02,75,0,2.39
475,muros,42.77,-9.06,37.4,64,0,8.05
476,chagda,NA,NA,NA,NA,NA,NA
477,soyo,-6.13,12.37,74.68,98,76,2.04
478,chocope,-7.79,-79.22,73.4,88,90,8.05
479,dossor,47.52,52.98,13.92,82,88,3.51
480,gilleleje,56.12,12.31,38.75,100,88,10.29
481,vilyuysk,63.75,121.63,-15.02,66,76,3.96
482,tiarei,-17.53,-149.33,82.4,74,75,6.93
483,half moon bay,37.46,-122.43,51.03,100,90,3.36
484,lloydminster,53.28,-110.01,8.6,84,90,3.18
485,hargeysa,9.56,44.06,51.8,87,0,11.41
486,cidahu,-6.55,106.01,78.63,100,44,3.51
487,takoradi,4.89,-1.75,79.89,100,12,4.07
488,thunder bay,48.41,-89.26,5,77,90,2.24
489,xiangxiang,27.73,112.52,40.65,100,92,6.76
490,ginir,7.14,40.71,69.05,21,0,4.07
491,caucasia,7.98,-75.2,72.42,95,48,0.6
492,akcakoca,41.09,31.12,43.04,83,76,8.55
493,bathsheba,13.22,-59.52,78.8,74,20,11.41
494,halalo,NA,NA,NA,NA,NA,NA
495,boyolangu,-8.09,111.9,78.59,100,36,3.62
496,chernyshevskiy,63.01,112.47,-2.28,70,24,8.77
497,ljutomer,46.52,16.2,26.6,86,0,2.24
498,ozinki,51.2,49.73,4.29,80,68,7.87
499,bjornevatn,69.67,29.98,25.95,79,0,31.09
500,casas grandes,30.15,-110.24,49.65,100,92,2.28
501,jining,35.41,116.58,42.32,74,68,4.97
502,qaqortoq,60.72,-46.03,25.4,88,36,4.18
503,havoysund,71,24.66,30.2,80,75,20.8
504,santiago del estero,-27.8,-64.26,64.86,77,92,15.03
